title,type,question,A,B,C,D,answer,image,explain
FCE Mock 1,radio,"Which of the following statements about rights and responsibilities of unit holders' are correct?
I. Rights of unit holders are stipulated in the deed and offering documents
II. Unit holders do not have the right to require the funds' asset to be transferred to them
III. Investors are responsible for ensuring compliance with investment guidelines
IV. Unit holders liabilities are limited",All of the above,"I, III and IV","I, II and III","I, II and IV",D,,"Which of the following statements about unit holders' rights are correct?
I. Rights of unit holders are stipulated in the deed and offering documents
II. Unit holders do not have the right to require the funds' asset to be transferred to them
IV. Unit holders liabilities are limited"
FCE Mock 1,radio,Index Fund is also referred to as _________ due to its modus operandi of “tracking” an index.,Passive Fund,Tracker Fund,Dynamic Fund,Growth Fund,B,,"Index Fund is also referred to as TRACKER FUND due to its modus operandi of ""tracking"" an Index."
FCE Mock 1,radio,"The following examples are true about a Consultant abetting others in committing a misconduct, EXCEPT:",Collaborating with others in a scheme to carry out misconduct,Encouraging or directing another person to commit misconduct,"Knowingly assisting another person, either through action or omission, to commit misconduct",It refers to when a Consultant reports acts of misconduct to FIMM,D,,It refers to when a Consultant reports acts of misconduct to FIMM
FCE Mock 1,radio,"Potential investors will be given a copy (either a hard or soft copy) of the disclosure material when they request for subscription to a Scheme. In the case of Private Retirement Scheme (PRS), this disclosure material is known as:",Financial Report,Information Memorandum,Disclosure Document,Prospectus,C,,"PRS - Disclosure Document
Unit Trust - Prospectus
Source: Study Guide > Pg. 3-16"
FCE Mock 1,radio,"According to the World Bank’s multi-pillar framework, which of the following pillars are part of Malaysia’s retirement system?
I. Pillar 0 - State (Base or social pension)
II. Pillar 1 - Mandatory (Public pension plans that are publicly managed)
III. Pillar 2 - Mandatory (Occupational/personal pension plans)
IV. Pillar 3 - Voluntary (Voluntary personal pension schemes)
V. Pillar 4 - Voluntary (Non-financlal arrangements/informal support informal support e.g. family financial support by the younger generation)","III, IV and V","I, II and III","I, III, IV and V","II, III and V",C,,NOTE: Pillar 1 - Mandatory (Public pension plans that are publicly managed) is NOT AVAILABLE IN MALAYSIA
FCE Mock 1,radio,"Under the Securities Commission Malaysia’s Guidelines on Advertising for Capital Market Products and Services, which parties must comply with these requirements?
I. Unit Trust Management Companies
II. Institutional Unit Trust Scheme Advisers
III. Private Retirement Scheme Consultants
IV. Corporate Unit Trust Scheme Advisers","I, II and III",I and II,"I, II and IV",All of the above,D,,"Securities Commission Malaysia's Guidelines on Advertising for Capital Market Products and Services apply to the following:
I. Unit Trust Management Companies
II. Institutional Unit Trust Scheme Advisers
III. Private Retirement Scheme Consultants
IV. Corporate Unit Trust Scheme Advisers"
FCE Mock 1,radio,"Which types of fees and charges can affect PRS Members' return on Investments?
I. Commission
II. Annual Management Fees
III. Annual trustee fee
IV. Insurance rider premiums","I, II and III",I and III,III and IV,II and IV,A,,"Which of the following fees and charges can affect PRS Members' return on Investments?
I. Commission
II. Annual Management Fees
III. Annual trustee fee"
FCE Mock 1,radio,"In a comprehensive investment planning engagement, a Consultant is expected to:
I. determine the client's financial objectives and his order of importance
II. analyse the client's financial position and cash flow
III. recommend products that can promise fixed future returns without risk
IV. determine the risk and return characteristics of the client's current investments","I, III and IV",All of the above,"I, II and III","I, II and IV",D,,"In a comprehensive investment planning engagement, a consultant should:
I. determine the client's financial objectives and his order of importance
Il. analyse the client's financial position and cash flow
IV. determine the risk and return characteristics of the client's current investments"
FCE Mock 1,radio,"Parties to a UTS trust deed include:
I. UTMC
II. IUTA
III. CUTA
IV. Trustee","I, II and III",I only,"I, II, III and IV",I and IV,D,,"Parties to a UTS trust deed include:
I. UTMC
IV. Trustee
And investors"
FCE Mock 1,radio,"Sunrise Growth Fund has a total NAV of RM105,885,936 and units in circulation of 138,000,000. Assuming there is no transaction cost, the selling price of the fund is RM0.7673. What is the NAV per unit of Sunrise Growth Fund?",RM3.77 ,RM0.77 ,RM1.90 ,RM0.13 ,B,,RM0.77 
