title,type,question,A,B,C,D,answer,image,explain
FCE Mock 1,radio,"Which of the following scenarios could happen when an organisation does not foster a strong compliance culture?
I. Increased client complaints and costs of restitution
II. Increased risk of litigation by clients
III. Decreased number of clients due to inability to create trust and confidence
IV. Improved professionalism among consultants",I and II,All of the above,"I, II and III",I,C,,"Which of the following scenarios could happen when an organisation fails to inculcate a strong compliance culture?
I. Increased client complaints and costs of restitution
II. Increased risk of litigation by clients
Ill. Decreased number of clients due to inability to create trust and confidence"
FCE Mock 1,radio,"Which of the following scenarios where PRS withdrawals will be exempted from the 8% tax penalty?
I. A member withdraws savings to renovate his home
II. Member is leaving Malaysia permanently
III. Member wants to repay housing loan
IV. Member wants to pay the medical expenses for his/her daughter who is suffering from a serious illness","II, III and IV","I, II and IV","I, II and III","I, Ill and IV",A,,"Which of the following scenarios where PRS withdrawals will be exempted from the 8% tax penalty?
Il. Member is leaving Malaysia permanently
Ill. Member wants to repay housing loan
IV. Member wants to pay the medical expenses for his/her daughter who is suffering from a serious illness
NOT FOR house renovation"
FCE Mock 1,radio,Which of the following is the primary role of a Trustee?,"Launching, promoting, and administering the fund on behalf of investors",Ensures that the Management Company adheres to all requirements stipulated in the deed and offering documents,Making day-to-day investment decisions such as stock selection and portfolio allocation,Conducting roadshows and education programmes for potential investors,B,,Ensures that the Management Company adheres to all requirements stipulated in the deed and offering documents
FCE Mock 1,radio,"Which of the following statements are TRUE?
I. UTS provides an ideal investment avenue for investors with limited capital
II. UTS enables investors to accumulate wealth and manage inflation in medium to long term
III. Generally, investments in UTS may provide better returns with an acceptable level of risk in the long term
IV. Investors in UTS/PRS do not purchase securities in the portfolio directly",II and III,All of the above,"I, II and III",I and II,B,,
FCE Mock 1,radio,"Which of the following items are reflected in both UTS/PRS deed and prospectus/disclosure document:
I. rights and responsibilities of the investors
II. Independent experts’ reports on the fund’s suitability
III. removal, replacement and retirement of UTMC/PRS Provider and Trustee
IV. maximum fees and charges","I, Il and III","I, III and IV","I, II and IV",All of the above,B,,"Which of the following Items are reflected in both UTS/PRS deed and prospectus/disclosure document:
I. rights and responsibilities of the investors
III. removal, replacement and retirement of UTMC/PRS Provider and Trustee
IV. maximum fees and charges"
FCE Mock 1,radio,What is the MAIN reason for the financial planning industry to shift from a commission-based payment to charging advisory fees?,Commission models are considered old-fashioned in today’s market,Clients have frequently complained about the size of commissions,"Commission based payment which is transaction-driven, makes it inappropriate when advising clients on setting and achieving financial goals",Advisory fees generally generate higher income for firms,C,,"Commission based payment which is transaction-driven, makes it inappropriate when advising clients on setting and achieving financial goals"
FCE Mock 1,radio,"Apart from FIMM, which other regulators' functions have an impact on the UTS and PRS industry?
I. Securities Commission Malaysia
II. Bank Negara Malaysia
III. Bursa Malaysia
IV. Companies Commission of Malaysia",I and III,All of the above,I and II,"I, II and III",B,,"Besides FIMM, which other regulators functions have an impact on the UTS and PRS Industry?
I. Securities Commission Malaysia
II. Bank Negara Malaysia
III. Bursa Malaysia
IV. Companies Commission of Malaysia"
FCE Mock 1,radio,"Which of the following areas are typically included in a comprehensive financial planning process?
I. Cash Management
II. Risk Management and Insurance Planning
III. Investment Planning
IV. Retiremant and Estate Planning
V. Tax Planning","I, II, III and IV","I, III, IV and V",All of the above,"I, II, III and V",C,,"Which of the following aspects of an individual's financial life are covered in financial planning?
I. Cash Management:
II. Risk Management and Insurance Planning
III. Investment Planning
IV. Retirement and Estate Planning
V. Tax Planning"
FCE Mock 1,radio,Which of the following statement is CORRECT about the size of agency unit for CUTA/CPRA?,An agency unit should not exceed 36 persons,An agency unit has no limitation,An agency unit should not exceed 40 persons,An agency unit should not exceed 28 persons,A,,An agency unit should not exceed 36 persons
FCE Mock 1,radio,"Which of the following statements on mandatory pension schemes are TRUE?
I. Mandatory pension schemes are retirement schemes that are mandated by law
II. In Malaysia, all private sector employees must participate in the EPF scheme
III. EPF savings can be withdrawn at the retirement age while a portion of it can only be withdrawn under specific circumstances
IV. Buying annuity products is considered part of mandatory pension schemes","I, III and IV","I, Il and III",All of the above,"I, II and IV",B,,"Which of the following statements on mandatory pension schemes are TRUE?
I. Mandatory pension schemes are retirement schemes that are mandated by law
II. In Malaysia, all private sector employees must participate in the EPF scheme
III. EPF savings can be withdrawn at the retirement age while a portion of it can only be withdrawn under specific circumstances"
